Date,Item,Item
2016-11-10,Juice,3
2016-11-10,Sandwich,3
2016-11-10,Truffles,3
2016-11-10,Art Tray,2
2016-11-10,Focaccia,2
2016-11-10,Keeping It Local,2
2016-11-10,Scandinavian,2
2016-11-10,Tartine,2
2016-11-10,Chimichurri Oil,1
2016-11-10,Coke,1
2016-11-10,Farm House,1
2016-11-10,Fudge,1
2016-11-10,Hearty & Seasonal,1
2016-11-10,Jam,1
2016-11-10,Smoothies,1
2016-11-11,Coffee,40
2016-11-11,Bread,30
2016-11-11,Brownie,10
2016-11-11,Scandinavian,9
2016-11-11,Tea,9
2016-11-11,Medialuna,8
2016-11-11,Alfajores,7
2016-11-11,Muffin,6
2016-11-11,Pastry,6
2016-11-11,Farm House,5
2016-11-11,Hot chocolate,5
2016-11-11,Sandwich,5
2016-11-11,Soup,5
2016-11-11,Fudge,4
2016-11-11,Keeping It Local,3
2016-11-11,Cake,2
2016-11-11,Ella's Kitchen Pouches,2
2016-11-11,Hearty & Seasonal,2
2016-11-11,Juice,2
2016-11-11,Mineral water,2
2016-11-11,Truffles,2
2016-11-11,Art Tray,1
2016-11-11,Chimichurri Oil,1
2016-11-11,Coke,1
2016-11-11,Cookies,1
2016-11-11,Fairy Doors,1
2016-11-11,Focaccia,1
2016-11-11,Frittata,1
2016-11-11,Jam,1
2016-11-11,My-5 Fruit Shoot,1
2016-11-12,Coffee,55
2016-11-12,Bread,38
2016-11-12,Muffin,21
2016-11-12,Alfajores,13
2016-11-12,Medialuna,13
2016-11-12,Brownie,11
2016-11-12,Tea,9
2016-11-12,Farm House,8
2016-11-12,Scandinavian,8
2016-11-12,Truffles,7
2016-11-12,Hot chocolate,6
2016-11-12,Frittata,5
2016-11-12,Hearty & Seasonal,4
2016-11-12,Pastry,4
2016-11-12,Soup,4
2016-11-12,Cookies,2
2016-11-12,Jam,2
2016-11-12,Juice,2
2016-11-12,Keeping It Local,2
2016-11-12,Sandwich,2
2016-11-12,Bowl Nic Pitt,1
2016-11-12,Coke,1
2016-11-12,Eggs,1
2016-11-12,Fudge,1
2016-11-12,Tartine,1
2016-11-13,Coffee,41
2016-11-13,Bread,39
2016-11-13,Brownie,11
2016-11-13,Medialuna,9
2016-11-13,Muffin,8
2016-11-13,Pastry,8
2016-11-13,Tea,7
2016-11-13,Hearty & Seasonal,5
2016-11-13,Keeping It Local,5
2016-11-13,Kids biscuit,4
2016-11-13,Hot chocolate,3
2016-11-13,Alfajores,2
2016-11-13,Art Tray,2
2016-11-13,Farm House,2
2016-11-13,Fudge,2
2016-11-13,Jam,2
2016-11-13,Juice,2
2016-11-13,Mineral water,2
2016-11-13,My-5 Fruit Shoot,2
2016-11-13,Sandwich,2
2016-11-13,Tartine,2
2016-11-13,Bacon,1
2016-11-13,Cake,1
2016-11-13,Coke,1
2016-11-13,Cookies,1
2016-11-13,Frittata,1
2016-11-13,Scandinavian,1
2016-11-13,Spread,1
2016-11-14,Coffee,38
2016-11-14,Bread,21
2016-11-14,Tea,13
2016-11-14,Muffin,10
2016-11-14,Sandwich,9
2016-11-14,Farm House,7
2016-11-14,Truffles,7
2016-11-14,Medialuna,6
2016-11-14,Hot chocolate,4
2016-11-14,Keeping It Local,4
2016-11-14,Pastry,4
2016-11-14,Soup,4
2016-11-14,Hearty & Seasonal,3
2016-11-14,Kids biscuit,3
2016-11-14,Art Tray,2
2016-11-14,Cookies,2
2016-11-14,Frittata,2
2016-11-14,Fudge,2
2016-11-14,Alfajores,1
2016-11-14,Ella's Kitchen Pouches,1
2016-11-14,Focaccia,1
2016-11-14,Jam,1
2016-11-14,Juice,1
2016-11-14,Mineral water,1
2016-11-14,Scandinavian,1
2016-11-15,Coffee,39
2016-11-15,Bread,22
2016-11-15,Soup,10
2016-11-15,Medialuna,8
2016-11-15,Tea,7
2016-11-15,Pastry,6
2016-11-15,Scandinavian,5
2016-11-15,Hearty & Seasonal,4
2016-11-15,Keeping It Local,4
2016-11-15,Truffles,4
2016-11-15,Coke,3
2016-11-15,Muffin,3
2016-11-15,Sandwich,3
2016-11-15,Brownie,2
2016-11-15,Farm House,2
2016-11-15,Fudge,1
2016-11-15,Hot chocolate,1
2016-11-15,Kids biscuit,1
2016-11-16,Coffee,30
2016-11-16,Bread,26
2016-11-16,Tea,12
2016-11-16,Soup,11
2016-11-16,Cake,9
2016-11-16,Pastry,6
2016-11-16,Scandinavian,5
2016-11-16,Medialuna,4
2016-11-16,Sandwich,4
2016-11-16,Brownie,3
2016-11-16,Muffin,3
2016-11-16,Hearty & Seasonal,2
2016-11-16,Hot chocolate,2
2016-11-16,Jam,2
2016-11-16,Mineral water,2
2016-11-16,Tartine,2
2016-11-16,Coke,1
2016-11-16,Fudge,1
2016-11-16,Granola,1
2016-11-16,Juice,1
2016-11-16,Victorian Sponge,1
2016-11-17,Coffee,38
2016-11-17,Bread,23
2016-11-17,Alfajores,9
2016-11-17,Tea,9
2016-11-17,Cake,5
2016-11-17,Hearty & Seasonal,5
2016-11-17,Pastry,5
2016-11-17,Scandinavian,5
2016-11-17,Soup,5
2016-11-17,Hot chocolate,4
2016-11-17,Keeping It Local,4
2016-11-17,Medialuna,4
2016-11-17,Muffin,4
2016-11-17,Brownie,3
2016-11-17,Farm House,3
2016-11-17,Sandwich,2
2016-11-17,Siblings,2
2016-11-17,Art Tray,1
2016-11-17,Cookies,1
2016-11-17,Fudge,1
2016-11-17,Jam,1
2016-11-17,Mineral water,1
2016-11-18,Coffee,43
2016-11-18,Bread,27
2016-11-18,Tea,12
2016-11-18,Pastry,10
2016-11-18,Soup,10
2016-11-18,Farm House,9
2016-11-18,Medialuna,8
2016-11-18,Alfajores,6
2016-11-18,Brownie,4
2016-11-18,Sandwich,4
2016-11-18,Coke,3
2016-11-18,Cookies,3
2016-11-18,Muffin,3
2016-11-18,Art Tray,2
2016-11-18,Fudge,2
2016-11-18,Hearty & Seasonal,2
2016-11-18,Hot chocolate,2
2016-11-18,Keeping It Local,2
2016-11-18,Mineral water,2
2016-11-18,Scandinavian,2
2016-11-18,Cake,1
2016-11-18,My-5 Fruit Shoot,1
2016-11-19,Coffee,64
2016-11-19,Bread,41
2016-11-19,Tea,17
2016-11-19,Medialuna,14
2016-11-19,Pastry,10
2016-11-19,Muffin,8
2016-11-19,Focaccia,5
2016-11-19,Hot chocolate,5
2016-11-19,Keeping It Local,5
2016-11-19,Jammie Dodgers,4
2016-11-19,Kids biscuit,4
2016-11-19,Scandinavian,4
2016-11-19,Alfajores,3
2016-11-19,Caramel bites,3
2016-11-19,Farm House,3
2016-11-19,Sandwich,3
2016-11-19,Soup,3
2016-11-19,Tartine,3
2016-11-19,Cake,2
2016-11-19,Mineral water,2
2016-11-19,Cookies,1
2016-11-19,Ella's Kitchen Pouches,1
2016-11-19,Fudge,1
2016-11-19,Hearty & Seasonal,1
2016-11-19,Jam,1
2016-11-19,My-5 Fruit Shoot,1
2016-11-20,Coffee,37
2016-11-20,Bread,28
2016-11-20,Cake,15
2016-11-20,Medialuna,11
2016-11-20,Alfajores,8
2016-11-20,Farm House,8
2016-11-20,Brownie,7
2016-11-20,Hot chocolate,7
2016-11-20,Pastry,6
2016-11-20,Tea,6
2016-11-20,Mineral water,5
2016-11-20,Sandwich,5
2016-11-20,Truffles,5
2016-11-20,Cookies,3
2016-11-20,Juice,3
2016-11-20,Keeping It Local,3
2016-11-20,Scandinavian,3
2016-11-20,Jam,2
2016-11-20,My-5 Fruit Shoot,2
2016-11-20,Dulce de Leche,1
2016-11-20,Focaccia,1
2016-11-20,Fudge,1
2016-11-20,Smoothies,1
2016-11-20,Tartine,1
2016-11-21,Coffee,30
2016-11-21,Bread,10
2016-11-21,Tea,7
2016-11-21,Farm House,5
2016-11-21,Medialuna,5
2016-11-21,Pastry,5
2016-11-21,Keeping It Local,4
2016-11-21,Brownie,3
2016-11-21,Cake,3
2016-11-21,Alfajores,2
2016-11-21,Cookies,2
2016-11-21,Hot chocolate,2
2016-11-21,Juice,2
2016-11-21,Sandwich,2
2016-11-21,Fudge,1
2016-11-21,Muffin,1
2016-11-21,My-5 Fruit Shoot,1
2016-11-21,Scandinavian,1
2016-11-21,Smoothies,1
2016-11-21,Truffles,1
2016-11-22,Coffee,25
2016-11-22,Bread,12
2016-11-22,Cake,8
2016-11-22,Tea,8
2016-11-22,Medialuna,7
2016-11-22,Brownie,5
2016-11-22,Hot chocolate,4
2016-11-22,Pastry,3
2016-11-22,Scandinavian,3
2016-11-22,Cookies,2
2016-11-22,Keeping It Local,2
2016-11-22,Sandwich,2
2016-11-22,Alfajores,1
2016-11-22,Coke,1
2016-11-22,Fudge,1
2016-11-22,Mineral water,1
2016-11-23,Coffee,26
2016-11-23,Bread,11
2016-11-23,Tea,7
2016-11-23,Cookies,6
2016-11-23,Medialuna,5
2016-11-23,Cake,4
2016-11-23,Sandwich,4
2016-11-23,Hot chocolate,3
2016-11-23,Brownie,2
2016-11-23,Keeping It Local,2
2016-11-23,Alfajores,1
2016-11-23,Coke,1
2016-11-23,Jam,1
2016-11-23,Juice,1
2016-11-23,Mineral water,1
2016-11-23,Olum & polenta,1
2016-11-23,Pastry,1
2016-11-23,Polenta,1
2016-11-23,Tiffin,1
2016-11-24,Coffee,30
2016-11-24,Bread,21
2016-11-24,Tea,12
2016-11-24,Cake,10
2016-11-24,Sandwich,6
2016-11-24,Pastry,5
2016-11-24,Alfajores,4
2016-11-24,Brownie,4
2016-11-24,Hot chocolate,3
2016-11-24,Medialuna,3
2016-11-24,Art Tray,2
2016-11-24,Hack the stack,2
2016-11-24,Keeping It Local,2
2016-11-24,Coke,1
2016-11-24,Cookies,1
2016-11-24,Ella's Kitchen Pouches,1
2016-11-24,Fudge,1
2016-11-24,Hearty & Seasonal,1
2016-11-24,My-5 Fruit Shoot,1
2016-11-24,Smoothies,1
2016-11-24,The Nomad,1
2016-11-25,Coffee,38
2016-11-25,Bread,26
2016-11-25,Tea,9
2016-11-25,Medialuna,8
2016-11-25,Pastry,7
2016-11-25,Alfajores,6
2016-11-25,Sandwich,5
2016-11-25,Brownie,4
2016-11-25,Cake,3
2016-11-25,Keeping It Local,3
2016-11-25,Mineral water,3
2016-11-25,Juice,2
2016-11-25,Art Tray,1
2016-11-25,Cookies,1
2016-11-25,Farm House,1
2016-11-25,Focaccia,1
2016-11-25,Hot chocolate,1
2016-11-25,Jam,1
2016-11-25,Tartine,1
2016-11-26,Coffee,46
2016-11-26,Bread,32
2016-11-26,Tea,14
2016-11-26,Muffin,12
2016-11-26,Medialuna,10
2016-11-26,Pastry,9
2016-11-26,Scandinavian,9
2016-11-26,Alfajores,8
2016-11-26,Cake,8
2016-11-26,Sandwich,7
2016-11-26,Hot chocolate,4
2016-11-26,Bakewell,3
2016-11-26,Juice,2
2016-11-26,Tartine,2
2016-11-26,Coke,1
2016-11-26,Cookies,1
2016-11-26,Farm House,1
2016-11-26,Focaccia,1
2016-11-26,Fudge,1
2016-11-26,Jam,1
2016-11-26,Mineral water,1
2016-11-26,The Nomad,1
2016-11-27,Coffee,47
2016-11-27,Bread,14
2016-11-27,Hot chocolate,8
2016-11-27,Tea,8
2016-11-27,Brownie,7
2016-11-27,Hearty & Seasonal,7
2016-11-27,Medialuna,7
2016-11-27,Bakewell,6
2016-11-27,Muffin,6
2016-11-27,Pastry,6
2016-11-27,Cake,5
2016-11-27,Jammie Dodgers,5
2016-11-27,Alfajores,4
2016-11-27,Juice,4
2016-11-27,Art Tray,2
2016-11-27,Cookies,2
2016-11-27,Farm House,2
2016-11-27,Fudge,2
2016-11-27,Keeping It Local,2
2016-11-27,Smoothies,2
2016-11-27,Mineral water,1
2016-11-27,Sandwich,1
2016-11-27,Tartine,1
2016-11-27,The Nomad,1
2016-11-28,Coffee,29
2016-11-28,Bread,17
2016-11-28,Pastry,7
2016-11-28,Tea,6
2016-11-28,Cookies,4
2016-11-28,Medialuna,4
2016-11-28,Lemon and coconut,3
2016-11-28,Sandwich,3
2016-11-28,Cake,2
2016-11-28,Ella's Kitchen Pouches,2
2016-11-28,Hot chocolate,2
2016-11-28,Bakewell,1
2016-11-28,Jam,1
2016-11-28,Keeping It Local,1
2016-11-28,Smoothies,1
2016-11-28,Tartine,1
2016-11-28,Tiffin,1
2016-11-29,Coffee,24
2016-11-29,Bread,16
2016-11-29,Tea,11
2016-11-29,Muffin,6
2016-11-29,Pastry,6
2016-11-29,Cake,5
2016-11-29,Farm House,3
2016-11-29,Medialuna,3
2016-11-29,Sandwich,3
2016-11-29,Coke,2
2016-11-29,Cookies,2
2016-11-29,Hot chocolate,2
2016-11-29,Keeping It Local,2
2016-11-29,Scandinavian,2
2016-11-29,Tiffin,2
2016-11-29,Alfajores,1
2016-11-29,Fudge,1
2016-11-29,Jam,1
2016-11-29,Juice,1
2016-11-30,Coffee,25
2016-11-30,Bread,21
2016-11-30,Hot chocolate,7
2016-11-30,Tea,7
2016-11-30,Cookies,5
2016-11-30,Keeping It Local,5
2016-11-30,Muffin,4
2016-11-30,Alfajores,3
2016-11-30,Cake,3
2016-11-30,Medialuna,3
2016-11-30,Pastry,3
2016-11-30,Tiffin,3
2016-11-30,Farm House,2
2016-11-30,Fudge,2
2016-11-30,Jammie Dodgers,2
2016-11-30,Sandwich,2
2016-11-30,Smoothies,2
2016-11-30,Art Tray,1
2016-11-30,Jam,1
2016-11-30,Mineral water,1
2016-12-01,Coffee,22
2016-12-01,Bread,19
2016-12-01,Pastry,8
2016-12-01,Tea,6
2016-12-01,Cake,3
2016-12-01,Farm House,3
2016-12-01,Hot chocolate,3
2016-12-01,Medialuna,3
2016-12-01,Muffin,3
2016-12-01,Fudge,2
2016-12-01,Sandwich,2
2016-12-01,Alfajores,1
2016-12-01,Coke,1
2016-12-01,Hearty & Seasonal,1
2016-12-01,Jam,1
2016-12-01,Juice,1
2016-12-01,Keeping It Local,1
2016-12-01,Scandinavian,1
2016-12-01,Spread,1
2016-12-01,The Nomad,1
2016-12-02,Coffee,30
2016-12-02,Bread,18
2016-12-02,Sandwich,12
2016-12-02,Scone,6
2016-12-02,Cake,5
2016-12-02,Medialuna,5
2016-12-02,Pastry,5
2016-12-02,Tea,5
2016-12-02,Hot chocolate,4
2016-12-02,Coke,2
2016-12-02,Cookies,2
2016-12-02,Fudge,2
2016-12-02,Alfajores,1
2016-12-02,Farm House,1
2016-12-02,Keeping It Local,1
2016-12-02,Mineral water,1
2016-12-02,Muffin,1
2016-12-02,Scandinavian,1
2016-12-02,Toast,1
2016-12-02,Truffles,1
2016-12-03,Coffee,45
2016-12-03,Bread,36
2016-12-03,Scone,16
2016-12-03,Cake,12
2016-12-03,Tea,11
2016-12-03,Medialuna,10
2016-12-03,Pastry,9
2016-12-03,Hot chocolate,8
2016-12-03,Sandwich,8
2016-12-03,Muffin,7
2016-12-03,Fudge,4
2016-12-03,Jam,4
2016-12-03,Juice,4
2016-12-03,Scandinavian,4
2016-12-03,Alfajores,3
2016-12-03,Farm House,3
2016-12-03,Coke,1
2016-12-03,Cookies,1
2016-12-03,Mineral water,1
2016-12-03,Smoothies,1
2016-12-03,Tartine,1
2016-12-03,Toast,1
2016-12-03,Truffles,1
2016-12-04,Coffee,35
2016-12-04,Bread,22
2016-12-04,Medialuna,10
2016-12-04,Tea,7
2016-12-04,Hot chocolate,6
2016-12-04,Cookies,5
2016-12-04,Muffin,5
2016-12-04,Pastry,5
2016-12-04,Cake,4
2016-12-04,Crepes,4
2016-12-04,Toast,4
2016-12-04,Alfajores,3
2016-12-04,Truffles,3
2016-12-04,Farm House,2
2016-12-04,Fudge,2
2016-12-04,Scone,2
2016-12-04,Ella's Kitchen Pouches,1
2016-12-04,Sandwich,1
2016-12-05,Coffee,41
2016-12-05,Bread,17
2016-12-05,Sandwich,8
2016-12-05,Medialuna,7
2016-12-05,Muffin,7
2016-12-05,Tea,7
2016-12-05,Alfajores,6
2016-12-05,Pastry,6
2016-12-05,Cookies,4
2016-12-05,Farm House,3
2016-12-05,Toast,3
2016-12-05,Juice,2
2016-12-05,Cake,1
2016-12-05,Coke,1
2016-12-05,Dulce de Leche,1
2016-12-05,Hearty & Seasonal,1
2016-12-05,Hot chocolate,1
2016-12-05,Jam,1
2016-12-06,Coffee,33
2016-12-06,Bread,24
2016-12-06,Tea,10
2016-12-06,Cake,5
2016-12-06,Cookies,5
2016-12-06,Muffin,5
2016-12-06,Pastry,5
2016-12-06,Alfajores,4
2016-12-06,Medialuna,4
2016-12-06,Farm House,3
2016-12-06,Hot chocolate,3
2016-12-06,Sandwich,3
2016-12-06,Juice,2
2016-12-06,Mineral water,2
2016-12-06,Coke,1
2016-12-06,Toast,1
2016-12-07,Coffee,22
2016-12-07,Bread,17
2016-12-07,Tea,7
2016-12-07,Cake,4
2016-12-07,Hot chocolate,4
2016-12-07,Sandwich,4
2016-12-07,Toast,4
2016-12-07,Farm House,3
2016-12-07,Alfajores,2
2016-12-07,Coke,2
2016-12-07,Cookies,2
2016-12-07,Jam,2
2016-12-07,Juice,2
2016-12-07,Medialuna,2
2016-12-07,Crepes,1
2016-12-07,Fudge,1
2016-12-07,Mineral water,1
2016-12-07,Truffles,1
2016-12-08,Coffee,21
2016-12-08,Bread,10
2016-12-08,Cake,8
2016-12-08,Pastry,6
2016-12-08,Tea,5
2016-12-08,Farm House,2
2016-12-08,Medialuna,2
2016-12-08,Toast,2
2016-12-08,Truffles,2
2016-12-08,Alfajores,1
2016-12-08,Brownie,1
2016-12-08,Cookies,1
2016-12-08,Hearty & Seasonal,1
2016-12-08,Juice,1
2016-12-08,Mineral water,1
2016-12-08,Sandwich,1
2016-12-08,Vegan mincepie,1
2016-12-09,Coffee,28
2016-12-09,Bread,23
2016-12-09,Tea,10
2016-12-09,Brownie,7
2016-12-09,Alfajores,5
2016-12-09,Medialuna,5
2016-12-09,Sandwich,5
2016-12-09,Cake,4
2016-12-09,Fudge,4
2016-12-09,Scone,4
2016-12-09,Toast,3
2016-12-09,Farm House,2
2016-12-09,Hearty & Seasonal,2
2016-12-09,Jam,2
2016-12-09,Juice,2
2016-12-09,Mineral water,2
2016-12-09,Scandinavian,2
2016-12-09,The Nomad,2
2016-12-09,Coke,1
2016-12-09,Crepes,1
2016-12-09,Hot chocolate,1
2016-12-10,Coffee,37
2016-12-10,Bread,28
2016-12-10,Tea,18
2016-12-10,Sandwich,9
2016-12-10,Scone,9
2016-12-10,Cake,6
2016-12-10,Frittata,6
2016-12-10,Scandinavian,6
2016-12-10,Farm House,5
2016-12-10,Juice,5
2016-12-10,Medialuna,5
2016-12-10,Pastry,5
2016-12-10,Hot chocolate,4
2016-12-10,Focaccia,3
2016-12-10,Jam,3
2016-12-10,Mineral water,3
2016-12-10,Art Tray,2
2016-12-10,Brownie,2
2016-12-10,Toast,2
2016-12-10,Truffles,2
2016-12-10,Vegan mincepie,2
2016-12-10,Coke,1
2016-12-10,Jammie Dodgers,1
2016-12-11,Coffee,29
2016-12-11,Bread,16
2016-12-11,Medialuna,9
2016-12-11,Alfajores,3
2016-12-11,Bakewell,3
2016-12-11,Farm House,3
2016-12-11,Hot chocolate,3
2016-12-11,Mineral water,3
2016-12-11,Scandinavian,3
2016-12-11,Tea,3
2016-12-11,Toast,3
2016-12-11,Frittata,2
2016-12-11,Scone,2
2016-12-11,Coke,1
2016-12-11,Cookies,1
2016-12-11,Fudge,1
2016-12-11,Jam,1
2016-12-11,Muffin,1
